age,annual_income,debt_ratio,prior_defaults,employment_years,education_level,good_credit
25,31836,0.373,2,2,1,0
53,81867,0.641,0,20,0,1
70,109423,0.51,0,24,1,1
62,117792,0.173,0,19,0,1
52,52733,0.911,1,21,0,1
25,60992,0.599,2,5,1,0
50,33818,0.279,3,6,1,0
60,81323,0.264,2,1,0,1
38,104087,0.345,3,5,1,1
28,115698,0.528,5,27,1,1
54,91027,0.67,0,8,1,1
68,119552,0.384,3,11,0,1
49,45152,0.209,5,30,0,0
39,82647,0.278,5,30,1,0
35,34577,0.312,5,13,1,0
53,62723,0.856,1,15,0,0
24,15342,0.56,2,3,1,0
55,44394,0.422,2,18,0,0
51,35791,0.171,1,22,0,1
49,27557,0.107,1,27,1,0
21,22357,0.63,4,28,1,0
59,99620,0.571,4,29,1,1
23,23064,0.528,3,5,0,0
31,22651,0.871,0,0,0,0
59,99239,0.506,5,13,0,0
53,55551,0.107,5,1,1,0
48,112673,0.871,0,23,1,1
32,44615,0.947,2,7,0,0
65,49511,0.691,2,20,1,1
64,118343,0.876,2,9,0,1
31,49127,0.864,5,6,0,0
68,57843,0.223,3,10,0,0
65,102193,0.807,4,15,1,1
54,106438,0.056,0,13,0,1
34,66322,0.61,0,18,0,1
30,19314,0.074,0,19,0,0
22,19046,0.087,5,20,0,0
65,23890,0.713,0,27,1,1
55,102053,0.109,5,30,1,1
27,47319,0.235,0,1,0,1
69,98122,0.129,5,20,1,1
51,28091,0.169,5,6,1,0
22,60993,0.281,2,1,1,0
41,115825,0.918,4,15,1,1
47,19095,0.443,0,11,1,0
66,21306,0.534,1,22,0,0
48,15170,0.521,2,24,0,0
21,60587,0.492,3,22,0,0
53,49154,0.57,1,9,0,0
65,45346,0.498,0,30,0,0
56,118144,0.144,2,11,0,1
46,66720,0.853,5,2,1,0
34,54733,0.287,4,16,0,0
45,97672,0.26,3,4,0,0
30,74022,0.646,5,10,0,0
50,72514,0.67,2,18,0,1
65,46187,0.507,2,9,0,0
67,35445,0.927,5,10,1,0
33,48906,0.928,5,3,0,0
63,28321,0.226,1,4,1,0
33,29323,0.624,0,8,0,0
45,75806,0.081,3,27,1,1
61,53825,0.467,1,8,1,0
21,112117,0.268,3,22,1,1
62,116456,0.628,4,27,0,1
64,38790,0.627,3,13,1,0
47,46771,0.754,5,22,0,0
37,70519,0.484,0,19,1,1
32,100785,0.345,0,12,1,1
27,19999,0.276,1,5,0,0
57,74871,0.537,5,15,0,0
61,118883,0.796,4,10,1,1
64,39091,0.403,0,23,1,1
61,22421,0.277,3,12,0,0
47,97387,0.678,2,18,1,1
27,44416,0.323,3,30,0,0
50,42788,0.198,0,25,0,1
51,99174,0.556,1,26,0,1
47,76354,0.947,4,20,0,0
70,76525,0.369,1,8,1,1
64,39364,0.483,5,25,1,0
43,47108,0.639,2,15,1,0
63,62504,0.187,2,27,1,1
24,26177,0.795,2,25,0,0
58,16964,0.642,1,30,0,0
62,53403,0.275,0,18,0,1
49,60409,0.756,1,28,1,1
55,37008,0.599,5,19,0,0
61,53934,0.228,5,6,0,0
68,72486,0.654,0,17,0,1
29,77028,0.494,0,15,1,1
30,106805,0.492,3,5,0,1
65,88737,0.498,2,26,1,1
44,70812,0.427,5,2,0,0
22,17694,0.599,5,23,1,0
27,81928,0.486,1,1,0,0
42,27381,0.826,2,10,1,0
70,83883,0.549,1,9,1,1
24,52899,0.314,3,12,1,0
53,50611,0.836,2,6,1,0
41,108478,0.319,4,20,0,1
23,67281,0.7,3,17,0,0
23,39895,0.79,3,19,0,0
53,86257,0.601,4,4,0,0
50,96956,0.736,0,21,0,1
23,70256,0.747,5,0,1,0
40,88675,0.689,2,5,1,1
23,56743,0.068,4,20,0,0
28,116420,0.779,4,22,1,1
49,23810,0.063,3,19,0,0
27,25869,0.63,1,28,0,0
61,17035,0.434,0,21,0,1
34,30905,0.166,0,8,0,0
49,111148,0.72,0,11,0,1
61,88071,0.688,3,21,1,1
24,109006,0.079,0,0,0,1
59,36757,0.912,3,19,0,0
41,63177,0.904,5,14,1,0
28,62613,0.909,1,20,1,0
51,65559,0.75,3,30,1,0
39,51687,0.105,5,22,1,0
59,110120,0.93,1,19,1,1
36,64371,0.399,3,19,0,0
49,52133,0.67,2,8,1,0
69,117641,0.088,1,25,0,1
38,119498,0.776,5,24,1,0
56,78538,0.768,1,25,0,1
40,94547,0.102,3,14,0,1
21,118765,0.396,4,2,1,0
70,23209,0.26,4,16,1,0
51,81344,0.58,1,6,0,1
26,38683,0.775,2,11,1,0
30,47283,0.09,3,11,0,0
44,97934,0.467,0,4,1,1
54,94578,0.069,0,6,1,1
58,89341,0.242,2,13,0,1
59,32157,0.279,0,10,0,0
32,64571,0.125,0,1,1,1
25,93389,0.626,0,22,0,1
37,56774,0.558,5,2,1,0
44,45818,0.943,1,5,0,0
37,61138,0.103,4,28,0,0
53,108009,0.716,3,1,0,0
30,56639,0.729,1,21,1,0
62,28817,0.474,2,8,1,0
28,64149,0.483,1,14,0,1
21,76328,0.696,1,25,0,0
31,43908,0.12,4,27,1,0
49,27712,0.883,3,26,0,0
61,24850,0.457,2,10,0,0
30,58513,0.249,0,5,1,1
56,33967,0.445,1,8,1,0
38,89840,0.806,2,25,0,1
37,79357,0.148,3,28,1,1
24,97706,0.856,5,29,0,0
56,77581,0.802,0,8,0,1
37,46283,0.883,0,12,1,0
47,36259,0.102,5,9,0,0
53,59683,0.51,3,0,1,0
32,62198,0.442,3,6,1,0
32,83374,0.743,5,5,0,0
59,25389,0.796,4,23,1,0
29,95272,0.653,5,25,0,0
58,55375,0.232,0,22,1,1
54,60566,0.352,5,27,1,0
26,17024,0.419,3,4,1,0
44,19806,0.197,2,18,0,0
43,83134,0.889,4,2,0,0
41,117121,0.69,3,18,0,1
39,29114,0.909,3,14,0,0
22,46920,0.921,1,19,0,0
31,28457,0.331,4,26,0,0
68,40570,0.285,4,20,1,0
54,46243,0.682,0,11,0,0
28,75928,0.494,4,24,1,0
28,30995,0.159,1,17,0,0
57,75562,0.722,1,30,0,1
61,65953,0.674,4,26,0,0
70,62612,0.355,1,26,1,1
66,72092,0.809,4,25,1,0
24,57582,0.516,5,29,1,0
36,70330,0.647,0,11,0,1
48,41317,0.504,0,7,0,0
47,67042,0.749,3,20,0,0
23,19505,0.829,4,8,1,0
61,86074,0.776,0,19,0,1
48,46018,0.906,2,3,1,0
43,99871,0.2,0,19,1,1
30,72668,0.162,1,28,1,1
47,90673,0.309,1,23,0,1
50,94947,0.675,1,20,1,1
33,86902,0.689,3,28,1,0
40,19058,0.268,1,6,1,0
58,66964,0.061,2,5,0,0
38,52331,0.841,1,9,0,0
70,17855,0.193,0,19,1,1
45,72658,0.369,0,16,0,1
64,111814,0.891,3,10,1,1
60,51273,0.789,4,3,1,0
38,117883,0.618,5,29,0,0
47,115358,0.545,0,15,1,1
57,34612,0.426,2,27,0,0
50,52756,0.701,2,11,1,0
54,87791,0.586,5,10,0,0
52,64895,0.45,1,17,1,1
30,72100,0.568,4,7,0,0
59,46804,0.913,1,13,0,0
22,21218,0.281,3,9,1,0
54,82799,0.704,3,12,1,0
43,20336,0.585,2,14,0,0
27,68676,0.387,3,20,0,0
33,70210,0.488,3,24,1,0
26,37376,0.376,2,2,1,0
53,38014,0.149,2,22,1,1
47,97719,0.191,2,26,0,1
53,39655,0.421,0,20,0,0
61,109747,0.088,3,0,0,1
40,108144,0.672,0,29,1,1
21,102570,0.077,1,15,1,1
62,84663,0.513,1,18,0,1
31,82950,0.734,0,0,0,1
25,37352,0.903,3,26,1,0
24,100209,0.061,4,10,0,0
66,46229,0.368,1,1,1,0
58,23260,0.364,3,19,1,0
22,22166,0.248,3,18,0,0
36,44215,0.09,4,27,0,0
41,15807,0.859,3,9,1,0
52,23850,0.269,3,21,0,0
47,55521,0.409,5,15,0,0
32,37272,0.373,1,0,1,0
46,88601,0.377,2,17,1,1
28,70348,0.793,2,17,0,0
45,40060,0.47,2,7,1,0
42,35433,0.268,1,2,0,0
38,86416,0.802,1,17,1,1
36,35869,0.381,1,23,1,0
45,97489,0.913,1,9,1,1
49,103513,0.168,5,8,1,0
58,63233,0.531,3,19,0,0
64,82243,0.132,2,23,1,1
22,101182,0.696,1,9,0,1
32,116729,0.816,2,6,0,1
25,88661,0.872,4,24,1,0
26,44677,0.31,5,12,1,0
43,67871,0.81,3,24,0,0
44,104079,0.769,5,11,1,0
22,101384,0.683,3,7,1,0
32,53204,0.154,4,23,0,0
66,103790,0.086,0,19,0,1
30,64904,0.714,4,9,0,0
57,44839,0.563,5,16,1,0
57,60749,0.892,0,26,1,1
23,91693,0.597,0,7,0,1
70,60306,0.725,0,13,1,1
68,95652,0.796,2,16,0,1
49,59603,0.672,5,22,1,0
53,22117,0.659,1,13,0,0
65,88285,0.285,4,5,0,0
55,49115,0.275,0,5,1,1
61,55704,0.173,5,22,1,0
63,78278,0.264,1,0,1,1
65,54239,0.17,5,4,0,0
42,97496,0.784,4,13,0,0
50,115421,0.415,1,3,1,1
21,62248,0.488,0,1,1,0
40,73722,0.917,1,10,1,1
50,89604,0.377,1,17,0,1
69,78638,0.126,5,10,1,0
27,99555,0.49,3,15,0,1
43,26923,0.63,5,19,1,0
62,47242,0.12,5,0,0,0
39,63219,0.217,5,16,0,0
27,117841,0.697,2,23,1,1
43,56963,0.257,1,17,1,1
37,46375,0.102,0,18,1,1
52,70440,0.5,1,9,0,0
30,105175,0.255,1,14,1,1
49,77836,0.222,5,11,0,0
23,95050,0.82,4,13,0,0
53,108163,0.429,2,2,1,1
21,102307,0.91,1,28,0,1
57,103507,0.363,1,15,0,1
55,57427,0.515,3,17,0,1
60,25674,0.78,0,23,1,0
59,101302,0.317,4,13,1,1
40,60011,0.527,5,0,0,0
35,103956,0.716,5,2,0,0
58,69575,0.374,1,18,1,1
46,49220,0.153,1,30,0,1
37,100154,0.135,4,21,1,1
66,79130,0.254,3,7,0,0
57,25515,0.816,5,2,1,0
29,80946,0.546,5,26,0,0
53,28381,0.464,5,12,0,0
33,88797,0.478,0,4,1,1
36,21189,0.385,0,22,0,0
50,54312,0.158,1,13,0,0
57,30035,0.876,2,5,1,0
68,59747,0.774,5,21,0,0
44,82263,0.714,2,23,1,1
23,94140,0.368,2,17,1,1
64,46778,0.279,1,22,1,1
22,91201,0.446,0,15,0,1
30,87646,0.888,5,21,1,0
30,92111,0.838,4,22,1,0
42,34783,0.488,3,27,0,0
23,24778,0.214,5,21,1,0
65,73797,0.404,4,16,0,0
44,58158,0.525,2,28,0,0
31,62315,0.705,2,18,1,0
45,61357,0.333,2,18,1,1
50,94778,0.091,1,23,0,1
38,65388,0.296,4,8,1,0
29,106568,0.081,4,28,0,1
33,116488,0.434,4,20,0,1
36,119425,0.895,5,2,1,0
69,59761,0.716,4,27,0,0
46,58834,0.104,2,21,1,1
51,81025,0.381,1,25,0,1
34,15947,0.85,5,14,1,0
49,66914,0.562,2,29,0,1
67,55435,0.277,4,17,1,0
25,39934,0.575,0,18,0,0
50,61789,0.923,5,13,0,0
52,56845,0.859,2,28,1,0
61,50133,0.263,0,6,0,1
46,73709,0.23,4,9,0,0
29,93777,0.094,0,25,1,1
67,32913,0.055,2,17,0,0
34,57145,0.344,5,0,1,0
46,94925,0.661,2,5,0,1
26,97091,0.602,3,19,1,0
37,75735,0.836,0,29,1,1
24,69412,0.603,5,26,1,0
31,27248,0.067,1,4,0,0
43,85603,0.662,4,4,1,0
35,112135,0.607,5,15,0,0
70,87023,0.93,3,17,1,1
44,83592,0.527,2,4,1,1
62,116471,0.929,1,20,0,1
46,114167,0.931,0,19,0,1
34,87777,0.75,2,30,1,1
68,34571,0.863,5,27,0,0
66,46796,0.447,3,6,1,0
45,75306,0.241,0,3,0,1
46,103370,0.828,0,7,1,1
47,64226,0.9,5,27,0,0
66,71858,0.268,2,6,1,1
69,70785,0.628,2,28,1,1
31,77569,0.827,2,30,0,1
40,52036,0.13,0,15,0,1
59,74381,0.241,0,28,0,1
68,62233,0.092,3,5,1,1
40,104804,0.072,0,4,0,1
29,54676,0.186,5,11,0,0
46,26826,0.423,5,29,1,0
42,19314,0.577,1,25,0,0
35,90346,0.437,0,23,0,1
24,56483,0.108,0,3,1,1
21,38459,0.252,4,4,0,0
54,61343,0.806,0,11,0,1
35,110865,0.115,5,5,0,0
37,50258,0.112,0,6,0,0
44,50023,0.06,5,1,1,0
55,51980,0.544,5,13,1,0
47,65197,0.926,3,24,1,0
47,33750,0.858,5,0,0,0
37,105920,0.6,3,7,0,0
63,30226,0.128,4,25,0,0
65,88206,0.342,5,14,1,0
50,90721,0.051,5,20,1,0
45,45727,0.792,5,27,1,0
43,108345,0.108,4,8,1,1
63,44263,0.882,2,8,1,0
67,60583,0.52,3,18,0,0
69,84304,0.378,1,16,0,1
44,46279,0.656,1,26,1,1
62,20670,0.34,2,26,1,1
28,68742,0.188,2,12,0,0
54,83334,0.322,5,2,1,0
46,53076,0.947,5,3,1,0
32,114457,0.516,0,21,0,1
44,79064,0.519,1,19,1,1
37,17328,0.551,0,18,1,0
24,92409,0.211,5,17,1,0
37,72418,0.132,5,15,0,0
33,31816,0.431,2,19,1,0
45,63126,0.088,2,13,1,0
62,94618,0.78,2,7,1,1
60,40114,0.93,5,18,1,0
25,102241,0.233,0,2,1,1
52,99278,0.731,0,3,1,1
50,106874,0.806,3,15,0,1
52,32731,0.511,0,21,0,0
68,41246,0.412,0,29,1,1
70,75279,0.156,1,27,0,1
57,17028,0.142,0,27,0,1
64,41192,0.69,3,27,0,0
56,105572,0.723,4,4,1,1
30,57007,0.351,4,0,0,0
55,51001,0.518,0,10,1,1
56,66744,0.51,3,21,0,1
40,54910,0.274,3,25,1,0
33,32268,0.097,4,20,1,0
50,101025,0.49,4,4,1,1
50,107657,0.551,0,23,1,1
21,84871,0.111,4,26,1,1
49,53211,0.23,1,25,1,1
46,110395,0.45,1,1,0,1
24,32956,0.826,0,26,1,0
32,16860,0.88,4,23,0,0
64,113129,0.315,1,17,0,1
30,116914,0.876,1,16,0,1
26,21594,0.423,5,26,1,0
66,72987,0.667,1,27,0,1
31,73499,0.314,1,27,1,1
